Customer ID,Gender,Age,Married,Dependents,Number of Dependents,Age Range,Referred a Friend,Number of Referrals,Tenure in Months,Quarter,Month,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Churn Score Category,CLTV Category,Customers
8779-QRDMV,Male,78,0,0,0,3,0,0,1,Q3,9,0,0,0,1,1,8,0,0,1,0,0,1,0,0,1,1,1,39.65,39.65,0,20,0,59.65,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data,Group 4,Group 4,8779
7495-OOKFY,Female,74,1,1,1,3,1,1,8,Q3,8,1,48.85,1,1,2,17,0,1,0,0,0,0,0,1,1,1,2,80.65,633.3,0,0,390.8,1024.1,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer,Group 3,Group 3,7495
1658-BYGOY,Male,71,0,1,3,3,0,0,18,Q3,8,1,11.33,1,1,2,52,0,0,0,0,1,1,1,1,1,1,1,95.45,1752.55,45.61,0,203.94,1910.88,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer,Group 4,Group 1,1658
4598-XLKNJ,Female,78,1,1,1,3,1,1,25,Q3,7,1,19.76,0,1,2,12,0,1,1,0,1,1,0,1,1,1,1,98.5,2514.5,13.43,0,494,2995.07,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services,Group 4,Group 3,4598
4846-WHAFZ,Female,80,1,1,1,3,1,1,37,Q3,8,1,6.33,1,1,2,14,0,0,0,0,0,0,0,1,1,1,1,76.5,2868.15,0,0,234.21,3102.36,2,Churned,Yes,1,67,2793,Price,Extra data charges,Group 3,Group 1,4846
4412-YLTKF,Female,72,0,1,1,3,0,0,27,Q3,8,1,3.33,1,1,2,18,0,0,1,0,0,0,0,0,1,1,1,78.05,2135.5,0,10,89.91,2235.41,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices,Group 4,Group 3,4412
0390-DCFDQ,Female,76,1,1,2,3,1,1,1,Q3,7,1,15.28,0,1,2,30,0,0,0,0,0,0,0,1,1,1,3,70.45,70.45,0,0,15.28,85.73,2,Churned,Yes,1,76,3964,Other,Don't know,Group 4,Group 2,390
3445-HXXGF,Male,66,1,0,0,3,1,6,58,Q3,9,0,0,0,1,1,24,0,1,1,0,0,1,0,1,1,1,1,45.3,2651.2,40.95,0,0,2610.25,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction,Group 4,Group 4,3445
2656-FMOKZ,Female,70,0,1,2,3,0,0,15,Q3,8,1,44.07,1,1,2,19,0,0,0,0,0,0,0,1,1,1,3,74.45,1145.7,0,0,661.05,1806.75,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services,Group 4,Group 4,2656
2070-FNEXE,Female,77,0,1,2,3,0,0,7,Q3,7,1,26.95,0,1,2,18,1,0,0,0,0,0,0,0,1,0,1,76.45,503.6,11.05,0,188.65,681.2,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed,Group 4,Group 2,2070
0094-OIFMO,Female,78,0,1,1,3,0,0,11,Q3,8,1,11.59,0,1,2,29,0,1,0,0,1,1,0,0,1,1,1,95,1120.3,0,120,127.49,1367.79,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction,Group 4,Group 4,94
9947-OTFQU,Male,65,0,0,0,2,0,0,15,Q3,8,1,29.11,0,1,2,29,0,1,0,0,0,0,0,1,1,1,1,74.4,1074.3,0,0,436.65,1510.95,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices,Group 4,Group 3,9947
9514-JDSKI,Male,77,1,0,0,3,1,1,1,Q3,9,0,0,0,1,1,12,0,1,0,0,1,0,0,1,1,0,1,40.2,40.2,0,0,0,40.2,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services,Group 3,Group 4,9514
7273-TEFQD,Male,67,0,0,0,3,0,0,3,Q3,8,0,0,0,1,1,28,0,0,1,0,0,1,1,1,1,1,1,41.15,132.2,0,0,0,132.2,2,Churned,Yes,1,96,2314,Price,Long distance charges,Group 4,Group 1,7273
